Team A,score,Team B,year
EDward Gaming,1 - 1,T1,2021
T1,2 - 0,100 Thieves,2021
T1,2 - 0,DetonatioN FocusMe,2021
T1,1 - 1,EDward Gaming,2021
Fnatic,0 - 2,Hanwha Life Esports,2021
Fnatic,0 - 2,PSG Talon,2021
Fnatic,1 - 1,Royal Never Give Up,2021
Hanwha Life Esports,2 - 0,Fnatic,2021
Hanwha Life Esports,1 - 1,PSG Talon,2021
Hanwha Life Esports,1 - 1,Royal Never Give Up,2021
PSG Talon,2 - 0,Fnatic,2021
PSG Talon,1 - 1,Hanwha Life Esports,2021
PSG Talon,0 - 2,Royal Never Give Up,2021
Royal Never Give Up,1 - 1,Fnatic,2021
Royal Never Give Up,1 - 1,Hanwha Life Esports,2021
Royal Never Give Up,2 - 0,PSG Talon,2021
Gen.G,1 - 1,LNG Esports,2021
Gen.G,1 - 1,MAD Lions,2021
Gen.G,1 - 1,Team Liquid,2021
LNG Esports,1 - 1,Gen.G,2021
LNG Esports,1 - 1,MAD Lions,2021
LNG Esports,1 - 1,Team Liquid,2021
MAD Lions,1 - 1,Gen.G,2021
MAD Lions,1 - 1,LNG Esports,2021
MAD Lions,1 - 1,Team Liquid,2021
Team Liquid,1 - 1,Gen.G,2021
Team Liquid,1 - 1,LNG Esports,2021
Team Liquid,1 - 1,MAD Lions,2021
Beyond Gaming,1 - 0,Chiefs Esports Club,2022
Beyond Gaming,0 - 1,DetonatioN FocusMe,2022
Beyond Gaming,0 - 1,Evil Geniuses.NA,2022
Beyond Gaming,0 - 1,Fnatic,2022
Beyond Gaming,1 - 0,LOUD,2022
Chiefs Esports Club,0 - 1,Beyond Gaming,2022
Chiefs Esports Club,0 - 1,DetonatioN FocusMe,2022
Chiefs Esports Club,0 - 1,Evil Geniuses.NA,2022
Chiefs Esports Club,0 - 1,Fnatic,2022
Chiefs Esports Club,0 - 1,LOUD,2022
DetonatioN FocusMe,1 - 0,Beyond Gaming,2022
DetonatioN FocusMe,1 - 0,Chiefs Esports Club,2022
DetonatioN FocusMe,1 - 0,Evil Geniuses.NA,2022
DetonatioN FocusMe,0 - 1,Fnatic,2022
DetonatioN FocusMe,0 - 1,LOUD,2022
Evil Geniuses,1 - 0,Beyond Gaming,2022
Evil Geniuses,1 - 0,Chiefs Esports Club,2022
Evil Geniuses,0 - 1,DetonatioN FocusMe,2022
Evil Geniuses,0 - 1,Fnatic,2022
Evil Geniuses,1 - 0,LOUD,2022
Fnatic,1 - 0,Beyond Gaming,2022
Fnatic,1 - 0,Chiefs Esports Club,2022
Fnatic,1 - 0,DetonatioN FocusMe,2022
Fnatic,1 - 0,Evil Geniuses.NA,2022
Fnatic,0 - 1,LOUD,2022
LOUD,0 - 1,Beyond Gaming,2022
LOUD,1 - 0,Chiefs Esports Club,2022
LOUD,1 - 0,DetonatioN FocusMe,2022
LOUD,0 - 1,Evil Geniuses.NA,2022
LOUD,1 - 0,Fnatic,2022
DRX,1 - 0,Istanbul Wildcats,2022
DRX,1 - 0,Isurus,2022
DRX,1 - 0,MAD Lions,2022
DRX,1 - 0,Royal Never Give Up,2022
DRX,1 - 0,Saigon Buffalo,2022
DenizBank İstanbul Wildcats,0 - 1,DRX,2022
DenizBank İstanbul Wildcats,0 - 1,Isurus,2022
DenizBank İstanbul Wildcats,0 - 1,MAD Lions,2022
DenizBank İstanbul Wildcats,0 - 1,Royal Never Give Up,2022
DenizBank İstanbul Wildcats,0 - 1,Saigon Buffalo,2022
Isurus,0 - 1,DRX,2022
Isurus,1 - 0,Istanbul Wildcats,2022
Isurus,0 - 1,MAD Lions,2022
Isurus,0 - 1,Royal Never Give Up,2022
Isurus,0 - 1,Saigon Buffalo,2022
MAD Lions,0 - 1,DRX,2022
MAD Lions,1 - 0,Istanbul Wildcats,2022
MAD Lions,1 - 0,Isurus,2022
MAD Lions,0 - 1,Royal Never Give Up,2022
MAD Lions,1 - 0,Saigon Buffalo,2022
Royal Never Give Up,0 - 1,DRX,2022
Royal Never Give Up,1 - 0,Istanbul Wildcats,2022
Royal Never Give Up,1 - 0,Isurus,2022
Royal Never Give Up,1 - 0,MAD Lions,2022
Royal Never Give Up,1 - 0,Saigon Buffalo,2022
Saigon Buffalo,0 - 1,DRX,2022
Saigon Buffalo,1 - 0,Istanbul Wildcats,2022
Saigon Buffalo,1 - 0,Isurus,2022
Saigon Buffalo,0 - 1,MAD Lions,2022
Saigon Buffalo,0 - 1,Royal Never Give Up,2022
Cloud9,0 - 2,EDward Gaming,2022
Cloud9,1 - 1,Fnatic,2022
Cloud9,0 - 2,T1,2022
EDward Gaming,2 - 0,Cloud9,2022
EDward Gaming,2 - 0,Fnatic,2022
EDward Gaming,0 - 2,T1,2022
Fnatic,1 - 1,Cloud9,2022
Fnatic,0 - 2,EDward Gaming,2022
Fnatic,1 - 1,T1,2022
T1,2 - 0,Cloud9,2022
T1,2 - 0,EDward Gaming,2022
T1,1 - 1,Fnatic,2022
DWG KIA,2 - 0,Evil Geniuses.NA,2022
DWG KIA,2 - 0,G2 Esports,2022
DWG KIA,1 - 1,JD Gaming,2022
Evil Geniuses,0 - 2,DWG KIA,2022
Evil Geniuses,1 - 1,G2 Esports,2022
Evil Geniuses,0 - 2,JD Gaming,2022
G2 Esports,0 - 2,DWG KIA,2022
G2 Esports,1 - 1,Evil Geniuses.NA,2022
G2 Esports,0 - 2,JD Gaming,2022
JD Gaming,1 - 1,DWG KIA,2022
JD Gaming,2 - 0,Evil Geniuses.NA,2022
JD Gaming,2 - 0,G2 Esports,2022
DRX,2 - 0,GAM Esports,2022
DRX,1 - 1,Rogue (European Team),2022
DRX,1 - 1,Top Esports,2022
GAM Esports,0 - 2,DRX,2022
GAM Esports,0 - 2,Rogue (European Team),2022
GAM Esports,1 - 1,Top Esports,2022
Rogue,1 - 1,DRX,2022
Rogue,2 - 0,GAM Esports,2022
Rogue,1 - 1,Top Esports,2022
Top Esports,1 - 1,DRX,2022
Top Esports,1 - 1,GAM Esports,2022
Top Esports,1 - 1,Rogue (European Team),2022
100 Thieves,1 - 1,CTBC Flying Oyster,2022
100 Thieves,0 - 2,Gen.G,2022
100 Thieves,0 - 2,Royal Never Give Up,2022
CTBC Flying Oyster,1 - 1,100 Thieves,2022
CTBC Flying Oyster,0 - 2,Gen.G,2022
CTBC Flying Oyster,0 - 2,Royal Never Give Up,2022
Gen.G,2 - 0,100 Thieves,2022
Gen.G,2 - 0,CTBC Flying Oyster,2022
Gen.G,1 - 1,Royal Never Give Up,2022
Royal Never Give Up,2 - 0,100 Thieves,2022
Royal Never Give Up,2 - 0,CTBC Flying Oyster,2022
Royal Never Give Up,1 - 1,Gen.G,2022
